Date of Notice,Name of Company,County,Industry,Date of Impact,Number of Employees Affected
1/13/2020,RY Timber,Broadwater,Timber,4/1/2020,70
2/10/2020,JC Penney,Missoula,Retail,4/25/2020,67
3/24/2020,Hilton Garden Inn - Kalispell,Flathead,Hospitality,3/25/2020,48
3/25/2020,Hilton Garden Inn - Missoula,Missoula,Hospitality,3/25/2020,85
3/25/2020,ALSCO,Yellowstone,Hospitality,3/25/2020,5
3/26/2020,CineMark,Multiple Counties,Movie Theatre,3/26/2020,64
4/3/2020,Altacare of Montana,Multiple Counties,Mental Health Services,4/3/2020,94
4/3/2020,Golden Entertainment,Missoula,Gaming,3/1620 to 4/30/20,50
4/20/2020,Capra Group Inc,Jefferson,Mining,3/23/2020,10
4/20/2020,Force State of Montana,Jefferson,Mining,3/23/2020,83
5/5/2020,BNSF Railway,Dawson,Railroad,7/7/2020,79
4/18/2018,Boyd Coffee Company,Lolo,Manufacturing,10/1/2018,1
3/21/2017,B/E Aerospace,Great Falls,Manufacturing,6/30/2017,80
1/4/2016,Tricon Lumber,Mineral,Timber,9/28/2015,50
1/20/2016,BNSF Railroad,Valley,Transportation,3/31/2016,50
3/30/2016,Sanjel,Custer,Oil & Gas,5/1/2016,Not noted
6/22/2016,Weyerhaueser,Flathead,Timber,9/4/2016,100
1/29/2015,Grand Pacific Resorts,Flathead,Hospitality,3/31/2015,65
5/7/2015,Asurion (NEW),Cascade,Call center,12/31/2015,341
9/23/2015,Golden Sunlight Mine,Jefferson,Mining,11/30/2015,140
11/4/2015,Fidelity Exploration & Prod.,Multiple - Eastern MT,Oil exploration,12/17/2015,MT # unknown
