Company,Location,Date,Employees Affected
Sheraton,Sioux Falls,5/13/2020,140
EROS,Sioux Falls /Garretson,4/23/2020,400
Bloomin' Brands Inc. (Outback Steakhouse),Sioux Falls,4/27/2020,70
Visionworks,Sioux Falls,4/4/2020,8
PBM Packaging Inc. (RR Donnelley),Howard,3/4/2020,56
Littlelfuse Inc.,Rapid City,2/25/2020,125
MetaBank,"Brookings, Sioux Falls",11/20/2019,74
Covington Care and Rehabilitation Center,Sioux Falls,5/31/2019,90
Mobridge Care and Rehabilitation Center,Mobridge,11/28/2018,67
TCF Bank,Sioux Falls,9/5/2018,145
Ditech,Rapid City,8/17/2018,39
Younkers (Bonton),Sioux Falls,6/5/2018,158
Wells Fargo & Co.,Aberdeen,3/27/2018,108
Molded Fiber Glass Companies,Aberdeen,2/15/2018,409
Bimbo Bakeries,Sioux Falls,9/8/2017,58
Buhler,Salem,3/9/2016,63
Nash Finch Company,Rapid City,2/3/2015,49
Wyndham Hotel Group,Aberdeen,9/9/2015,241
Asurion,Rapid City,11/4/2014,227
Capital One,Sioux Falls,6/24/2014,750
Minnesota Rubber & Plastic,Watertown,11/15/2013,171
Raven - Aerostar,Huron,9/20/2013,75
Sargento,North Sioux City,7/29/2013,39
"Communication Services for the Deaf, Inc.",Sioux Falls,4/22/2013,43
"Stream Global Services, Inc.",Vermillion,8/22/2012,180
Verifications,Aberdeen,5/7/2012,73
Verifications,Mitchell,5/7/2012,75
Hostess Brands,Sioux Falls,5/4/2012,10
Wells Fargo,Aberdeen,2/2/2012,66
Bosselman Travel Center,Rapid City,1/5/2012,30
"Rockwell Collins, Inc.",Ellsworth Air Force Base,10/24/2011,8
Alamo Group (SMC),Sioux Falls,10/20/2011,76
Premier Bankcard,Spearfish,5/23/2011,335
Communication Services for the Deaf (CSD),Sioux Falls,3/29/2010,79
Verety LLC,South Dakota,3/19/2010,5-Jan
Terex Load King,Elk Point,12/3/2009,73
Terex Load King,Elk Point,8/24/2009,10
Coventry Healthcare Inc.,Aberdeen,8/19/2009,73
Wells Fargo,Sioux Falls,7/30/2009,114
Merillat,Rapid City,7/17/2009,158
VeraSun Energy Corporation,Sioux Falls,5/25/2009,92
Terex Load King,Elk Point,5/1/2009,63
Hutchinson Technology Inc.,Sioux Falls,1/8/2009,275
MPC,North Sioux City,1/2/2009,45
MPC,North Sioux City,11/5/2008,89
Student Financial Loan Corporation,Aberdeen,5/20/2008,18
Qwest,Sioux Falls,1/24/2008,58
Ideal Merchandising,"Apollo Beach, FL",12/6/2007,1
Artic Cat,Madison,11/12/2007,89
Gateway,North Sioux City,10/11/2007,60
Oak Valley Farms,Watertown,7/30/2007,225
Gillette Dairy,Rapid City,5/16/2007,48
