Notice Date,Organization Name,Number to Employees Affected ,Effective Layoff Date,Code Type
9-Jun-20,JW Marriott Washington DC,376,3/16/2020,1
9-Jun-20,"Residence Inn Washington DC, Downtown",56,3/13/2020,1
8-Jun-20,Marriott Washington Wardman Park,731,3/14/2020,1
8-Jun-20,The W Hotel,351,3/14/2020,1
5-Jun-20,Washington Marriott Georgetown,176,3/16/2020,1
5-Jun-20,The Ritz,361,3/16/2020,1
4-Jun-20,The Mayflower Hotel,426,3/20/2020,1
2-Jun-20,St. Regis,2020,3/7/2020,1
1-Jun-20,Westin Georgetown,96,3/16/2020,1
21-May-20,Embassy Suites Chevy Chase,60,3/16/2020,1
6-May-20,Medical Facility Associates,136,7/5/2020,1
"May 2 and 5, 2020","Barcelona Restaurants, LLC",151,3/26/2020,1
6-Apr-20,MomoFuku,67,4/6/2020,1
3-Apr-20,Trump Interational Hotel,237,4/3/2020,1
30-Mar-20,Thunder Grill,41,3/16/2020,1
30-Mar-20,Sequoia,128,3/16/2020,1
27-Mar-20,Le Diplomate,244,3/16/2020,1
23-Mar-20,Boquiera,152,"March 20,2020",2
26-Mar-20,Embassy Row,67,3/26/2020,1
20-Mar-20,Four Seasons Hotel,413,3/23/2020,1
20-Mar-20,Mynd Salon and Spa,82,3/19/2020,2
20-Mar-20,St. Anselm,96,3/23/2020,2
19-Mar-20,Gregorys Coffee Management LLC,30,3/19/2020,1
18-Mar-20,Carmines DC LLC,152,3/16/2020,1
14-Mar-20,Sydell Hotel LLC,58,3/16/2020,1
20-Mar-19,Hooters,55,5/19/2019,2
10-Jul-19,Co-Star Group,96,9/27/2019,1
26-Jul-19,Dean & DeLuca,53,7/26/2019,2
26-Jul-19,OMNISEC,167,9/30/2019,1
31-Jul-19,GDIT,62,9/30/2019,1
30-Aug-19,"Centerra Group, LLC",72,9/30/2019,1
17-Sep-19,GDIT,64,11/18/2019,1
25-Oct-19,"Freedom Forum, INC",88,12/31/2019,1
22-Oct-19,Capitol Hill Hotel,160,1/3/2020,1
31-Oct-19,Wolfgang Puck Catering and Newseum,60,12/31/2019,2
2-Mar-18,"Centerra Group, LLC",243,3/31/2018,1
8-Jun-18,"PESystems, INC.",89,8/10/2018,1
9-Aug-18,"Warner Media, LLC",14,11/9/2018,1
12-Oct-18,Providence Hospital,898,12/14/2018,2
17-Aug-17,Providence Hospital,268,10/16/2017,1
28-Jul-17,First Potomac Realty Trust,24,10/1/2017,1
7-Jul-17,Black Entertainment Television,55,9/5/2017,2
23-Feb-17,Groupon Inc.,95,4/24/2017,1
2-Feb-17,Gap Solution,85,2/11/2017,1
11/29/2016,Core Civic Association,243,1/31/2017,1
9/15/2016,GAP Solutions,85,9/28/2016,1
8/23/2016,Double Tree Hotel,67,10/24/2016,Renovations
6/1/2016,BAE Systems,56,7/29/2016,2
4/29/2016,BAE Systems,13,6/30/2016,2
6/20/2016,Cessation of Restaurant Associates of National Gallery,71,9/30/2016,2
6/17/2016,AECOM,52,8/2/2016,2
4/26/2016,Sodexo,30,7/31/2016,2
4/12/2016,AECOM,120,6/14/2016,1
3/16/2016,Living Social,88,5/16/2016,1
1/16/2016,"AL Jazeera, LLC",67,4/30/2016,2
8/14/2015,Holiday Inn- Georgetown ,72,11/20/2015,2
6/7/2015,Restaurant Associates at the US House of Representatives ,All,8/7/2015,2
4/13/2015,Centerra Group,66,4/30/2015,2
1/28/2015,General Dynamics Information Technology,96,5/31/2015,2
2-Mar-18,"Centerra Group, LLC",243,3/31/2018,1
8-Jun-18,"PESystems, INC.",89,8/10/2018,1
9-Aug-18,"Warner Media, LLC",14,11/9/2018,1
12-Oct-18,Providence Hospital,898,12/14/2018,2
19-Mar-13,"The Washington Newspaper Publishing Company, LLC (dba The Washington Examiner)",20,6/15/2013,1
9-May-13,Howard Road Academy,50,"June 23,2013",1
13-Jun-13,"Chimes, Inc.",50,6/30/2013,1
13-Aug,AARP,73,12/31/2013,1
13-Oct,Davidson Hotels and Resorts/L’Enfant Plaza ,200,12/3/2013,2
"May 7,14 & 31, 2012",Dewey & Le Boeuf,29,"May 31, 2012 & 6/15/2012",2
4-Jun-12,IAP World Services,99,6/18/2012,1
4-Jun-12,IAP World Services,185,"June 29, 2012 & August 3, 2012",1
13-Jul-12,Interstate Hotels and Resorts,114,9/13/2012,1
24-Jul-12,Lockheed Martin Electronic Systems,103,7/31/2012,1
2-Aug-12,G4S Government Solutions,143,2/8/2013,1
10-Sep-12,Democratic National Committee,83,11/30/2012,1
14-Sep-12,American Geophysical Union,61,12/14/2012,1
